
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
2026-03-07T01:55:28.108Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.task.TaskExecutorConfigurations$TaskExecutorConfiguration'
2026-03-07T01:55:28.114Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'threadPoolTaskExecutorBuilder'
2026-03-07T01:55:28.115Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.task.TaskExecutorConfigurations$ThreadPoolTaskExecutorBuilderConfiguration'
2026-03-07T01:55:28.129Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.task.execution-org.springframework.boot.autoconfigure.task.TaskExecutionProperties'
2026-03-07T01:55:28.144Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'threadPoolTaskExecutorBuilder' via factory method to bean named 'spring.task.execution-org.springframework.boot.autoconfigure.task.TaskExecutionProperties'
2026-03-07T01:55:28.163Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'applicationTaskExecutor' via factory method to bean named 'threadPoolTaskExecutorBuilder'
2026-03-07T01:55:28.219Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'orquestradorApplication'
2026-03-07T01:55:28.222Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'downloadConfig'
2026-03-07T01:55:28.231Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'downloadListener'
2026-03-07T01:55:28.270Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'downloadProducer'
2026-03-07T01:55:28.287Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'rabbitTemplate'
2026-03-07T01:55:28.295Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'rabbitConnectionFactory'
2026-03-07T01:55:28.300Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.amqp.autoconfigure.RabbitAutoConfiguration$RabbitConnectionFactoryCreator'
2026-03-07T01:55:28.303Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.rabbitmq-org.springframework.boot.amqp.autoconfigure.RabbitProperties'
2026-03-07T01:55:28.355Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.amqp.autoconfigure.RabbitAutoConfiguration$RabbitConnectionFactoryCreator' via constructor to bean named 'spring.rabbitmq-org.springframework.boot.amqp.autoconfigure.RabbitProperties'
2026-03-07T01:55:28.363Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'rabbitConnectionFactoryBeanConfigurer'
2026-03-07T01:55:28.371Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'rabbitConnectionDetails'
2026-03-07T01:55:28.382Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'rabbitConnectionFactoryBeanConfigurer' via factory method to bean named 'org.springframework.boot.web.server.servlet.context.AnnotationConfigServletWebServerApplicationContext@7d42c224'
2026-03-07T01:55:28.384Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'rabbitConnectionFactoryBeanConfigurer' via factory method to bean named 'rabbitConnectionDetails'
2026-03-07T01:55:28.391Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'rabbitConnectionFactoryConfigurer'
2026-03-07T01:55:28.397Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'rabbitConnectionFactoryConfigurer' via factory method to bean named 'rabbitConnectionDetails'
2026-03-07T01:55:28.402Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'rabbitConnectionFactory' via factory method to bean named 'rabbitConnectionFactoryBeanConfigurer'
2026-03-07T01:55:28.403Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'rabbitConnectionFactory' via factory method to bean named 'rabbitConnectionFactoryConfigurer'
2026-03-07T01:55:29.061Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'messageConverter'
2026-03-07T01:55:29.286Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'rabbitTemplate' via factory method to bean named 'rabbitConnectionFactory'
